type_name,type,path,i,real_time,user_time,sys_time,depth
Approach 3: tuple,3,tuple/tuple7.cpp.out,5,0m7.934,0m7.834,0m0.100,7
Approach 3: tuple,3,tuple/tuple7.cpp.out,6,0m7.974,0m7.904,0m0.070,7
Approach 3: tuple,3,tuple/tuple7.cpp.out,7,0m8.090,0m7.980,0m0.110,7
Approach 3: tuple,3,tuple/tuple7.cpp.out,8,0m8.036,0m7.896,0m0.140,7
Approach 3: tuple,3,tuple/tuple7.cpp.out,9,0m8.107,0m7.936,0m0.170,7
Approach 3: tuple,3,tuple/tuple7.cpp.out,10,0m8.249,0m8.167,0m0.080,7
Approach 3: tuple,3,tuple/tuple8.cpp.out,1,3m42.350,3m39.555,0m2.770,8
Approach 3: tuple,3,tuple/tuple8.cpp.out,2,3m54.953,3m51.623,0m3.249,8
Approach 3: tuple,3,tuple/tuple8.cpp.out,3,3m49.955,3m47.043,0m2.820,8
Approach 3: tuple,3,tuple/tuple8.cpp.out,4,4m8.563,4m5.400,0m3.140,8
Approach 3: tuple,3,tuple/tuple8.cpp.out,5,3m48.075,3m44.838,0m3.110,8
Approach 3: tuple,3,tuple/tuple8.cpp.out,6,3m40.159,3m38.019,0m2.120,8
Approach 3: tuple,3,tuple/tuple8.cpp.out,7,3m37.471,3m35.583,0m1.840,8
Approach 3: tuple,3,tuple/tuple8.cpp.out,8,3m34.811,3m33.240,0m1.540,8
Approach 3: tuple,3,tuple/tuple8.cpp.out,9,3m34.841,3m33.091,0m1.740,8
Approach 3: tuple,3,tuple/tuple8.cpp.out,10,3m42.680,3m40.494,0m2.150,8
